file,bytes,kind,status,has_error_marker,last_line
logs\logs\run_20260722_225808.log,22568,meta_training,complete,False,2026-07-22 23:01:42 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_42\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_230143.log,20868,evaluation,complete,False,2026-07-22 23:13:10 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_42\horizon_20\evaluation\results.json
logs\logs\run_20260722_231351.log,24836,meta_training,complete,False,2026-07-22 23:17:54 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_52\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_231756.log,20827,evaluation,complete,False,2026-07-22 23:28:59 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_52\horizon_20\evaluation\results.json
logs\logs\run_20260722_232944.log,34768,meta_training,complete,False,2026-07-22 23:36:09 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_62\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_233610.log,20835,evaluation,complete,False,2026-07-22 23:47:27 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_62\horizon_20\evaluation\results.json
logs\logs\run_20260722_234813.log,33471,meta_training,complete,False,2026-07-22 23:54:23 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_72\horizon_20\meta_artifacts.pt
logs\logs\run_20260722_235425.log,20812,evaluation,complete,False,2026-07-23 00:05:47 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_72\horizon_20\evaluation\results.json
logs\logs\run_20260723_000636.log,23791,meta_training,complete,False,2026-07-23 00:10:22 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_82\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_001023.log,20750,evaluation,complete,False,2026-07-23 00:21:39 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\dos\fraction_1\seed_82\horizon_20\evaluation\results.json
logs\logs\run_20260723_002231.log,35752,meta_training,complete,False,2026-07-23 00:29:09 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_42\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_002910.log,20865,evaluation,complete,False,2026-07-23 00:40:43 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_42\horizon_20\evaluation\results.json
logs\logs\run_20260723_004137.log,20908,meta_training,complete,False,2026-07-23 00:44:44 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_52\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_004446.log,20843,evaluation,complete,False,2026-07-23 00:56:31 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_52\horizon_20\evaluation\results.json
logs\logs\run_20260723_005728.log,27057,meta_training,complete,False,2026-07-23 01:01:56 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_62\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_010158.log,20768,evaluation,complete,False,2026-07-23 01:13:29 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_62\horizon_20\evaluation\results.json
logs\logs\run_20260723_011429.log,34879,meta_training,complete,False,2026-07-23 01:21:06 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_72\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_012107.log,20807,evaluation,complete,False,2026-07-23 01:32:05 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_72\horizon_20\evaluation\results.json
logs\logs\run_20260723_013306.log,24990,meta_training,complete,False,2026-07-23 01:37:06 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_82\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_013708.log,20790,evaluation,complete,False,2026-07-23 01:48:49 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\portscan\fraction_1\seed_82\horizon_20\evaluation\results.json
logs\logs\run_20260723_014953.log,35638,meta_training,complete,False,2026-07-23 01:56:31 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_42\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_015632.log,20795,evaluation,complete,False,2026-07-23 02:07:52 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_42\horizon_20\evaluation\results.json
logs\logs\run_20260723_020859.log,36110,meta_training,complete,False,2026-07-23 02:15:36 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_52\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_021538.log,20802,evaluation,complete,False,2026-07-23 02:26:56 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_52\horizon_20\evaluation\results.json
logs\logs\run_20260723_022805.log,29830,meta_training,complete,False,2026-07-23 02:33:26 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_62\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_023327.log,20780,evaluation,complete,False,2026-07-23 02:45:07 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_62\horizon_20\evaluation\results.json
logs\logs\run_20260723_024619.log,35600,meta_training,complete,False,2026-07-23 02:52:58 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_72\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_025300.log,20725,evaluation,complete,False,2026-07-23 03:04:12 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_72\horizon_20\evaluation\results.json
logs\logs\run_20260723_030526.log,35608,meta_training,complete,False,2026-07-23 03:12:04 | INFO    | train_meta | Meta-training finished. Artifact: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_82\horizon_20\meta_artifacts.pt
logs\logs\run_20260723_031205.log,20782,evaluation,complete,False,2026-07-23 03:23:45 | INFO    | run_experiments | 实验完成: outputs\fast_adaptation_matrix_20260722\runs\webattack\fraction_1\seed_82\horizon_20\evaluation\results.json
