method,step,support_loss,macro_f1,prediction_positive_rate,attack_recall,normal_recall
MetaOpt,4,0.6442050477725764,0.6302046729303319,0.6468833329950769,0.8139166666666666,0.5201500016010056
MetaOpt,5,0.5593823951619367,0.7143724413484988,0.5897125004207094,0.8333999999999999,0.6539749993787457
MetaOpt,6,0.47725193269737065,0.7602311662051082,0.5551166675115625,0.8392333333333333,0.7289999978480239
MetaOpt,7,0.404739034828109,0.7894956554685063,0.5393416678868234,0.8482333333333333,0.769549997103711
MetaOpt,8,0.3432942815396624,0.8124933278240417,0.5334250013139099,0.8613833333333334,0.7945333301356683
MetaOpt,9,0.29243635264256346,0.8282805099324583,0.5308083349385609,0.8717666666666667,0.8101499967084577
MetaOpt,10,0.25098119375171757,0.8398379092850005,0.5280500017389034,0.878575,0.8224749964705358
MetaOpt,11,0.2172991958249719,0.8485671932734902,0.5270291685434059,0.88485,0.8307916631543388
MetaOpt,12,0.18970665941441012,0.8548139269530475,0.5256916686610008,0.8888916666666667,0.8375083297522118
MetaOpt,13,0.1668352954252162,0.8593353934718337,0.5239166687559337,0.8910916666666667,0.8432583297317227
MetaOpt,14,0.14769660181213473,0.8625754699899885,0.5226541685660681,0.8926666666666667,0.8473583295624704
MetaOpt,15,0.13151700463826715,0.8647727962045465,0.5216375017889465,0.8936166666666666,0.8503416627633075
MetaOpt,16,0.11762439714027863,0.8669116601484105,0.5207041684060048,0.894675,0.8532666625871013
MetaOpt,17,0.10546795937416048,0.868775717797497,0.5197916684035833,0.89545,0.8558666625811407
MetaOpt,18,0.09466535062348223,0.8700715254326185,0.5198458351455629,0.8966833333333334,0.856991662595421
MetaOpt,19,0.08500938596537615,0.8711317567301404,0.5201208351813257,0.8979333333333334,0.8576916625127197
MetaOpt,20,0.076387688657894,0.8720073351899151,0.5206625018656875,0.8992833333333333,0.8579583291995029
SGD,0,,0.3613760390555476,0.7043208322652306,0.6217666666666667,0.21312500370976825
SGD,1,0.7769950698241591,0.5397635870595004,0.7069874994804461,0.7888999999999999,0.37492500375956295
SGD,2,0.6094039111919701,0.6833969404244399,0.6572375002251938,0.8692416666666667,0.5547666682495425
SGD,3,0.5206106808551898,0.7533770407789264,0.6131541675648963,0.8863416666666667,0.6600333329296361
SGD,4,0.4595060514435172,0.7914716677444864,0.5877208346609647,0.8942666666666668,0.7188249984849244
SGD,5,0.41350404169006894,0.8143228593079672,0.5718333348613233,0.8985583333333333,0.7548916643404713
SGD,6,0.3771744485165303,0.8288813590400728,0.5611375014840936,0.9008166666666666,0.7785416639062266
SGD,7,0.34755246423215913,0.8387125628021126,0.553670835089249,0.9022166666666667,0.7948749969210476
SGD,8,0.32282365784266337,0.8456030823838174,0.5482541683952634,0.9030333333333334,0.8065249967450897
SGD,9,0.30179764573617524,0.8510297039509406,0.5439000017705063,0.9036583333333333,0.8158583297071358
SGD,10,0.2836541585406909,0.8550629656259977,0.5408208351687839,0.9042,0.8225583295468241
SGD,11,0.26780630669960126,0.8580338045825902,0.5385333351179337,0.9046833333333334,0.8276166627450535
SGD,12,0.2538213411749651,0.860948020390917,0.5363000018183763,0.9051499999999999,0.8325499960475912
SGD,13,0.24137213753412162,0.8632340444928135,0.5346000017831102,0.9055583333333334,0.8363583293557167
SGD,14,0.23020618808502327,0.8651163462066191,0.5333666684674099,0.9060833333333334,0.8393499959850063
SGD,15,0.22012506311743826,0.8667728256391941,0.5322083351503437,0.90645,0.8420333292645713
SGD,16,0.21097039476285373,0.8681130087252629,0.5313208352057264,0.9068,0.8441583292310436
SGD,17,0.2026140655527512,0.8692990488843836,0.5304416685961187,0.907025,0.8461416625585407
SGD,18,0.1949511823932019,0.8703163285092141,0.5296041685740153,0.907125,0.8479166625055174
SGD,19,0.18789494865822293,0.8713158127030782,0.5289125019321218,0.9073500000000001,0.849524995814388
SGD,20,0.18137285305373366,0.8721895065869163,0.5283291686205194,0.9076083333333332,0.8509499957865725
