method,step,support_loss,macro_f1,prediction_positive_rate,attack_recall,normal_recall
Adam,0,,0.3613760390555476,0.7043208322652306,0.6217666666666667,0.21312500370976825
Adam,1,0.7769950698241591,0.38202341720019817,0.6987541656419635,0.6323000000000001,0.2347916706042985
Adam,2,0.7397525040681163,0.41059205968737994,0.6945749989033987,0.6535416666666667,0.26439167075790465
Adam,3,0.7045943201482296,0.4531474027301962,0.6965999990385026,0.6964416666666666,0.3032416709307581
Adam,4,0.6714611178499957,0.5021106921442499,0.6920666659778605,0.736375,0.3522416709009558
Adam,5,0.6402729922582706,0.5547878732780476,0.6806041660817961,0.7724916666666667,0.41128333724290134
Adam,6,0.6109359544267257,0.6074815066899967,0.6663874997763584,0.8071916666666666,0.47441666999893883
Adam,7,0.5833450689911842,0.6554290516648805,0.6506375002032145,0.8361916666666666,0.5349166688763847
Adam,8,0.557389589489748,0.6928906590284816,0.6327958336491137,0.8521583333333334,0.5865666678852092
Adam,9,0.5329592781389753,0.7212160301322315,0.6170541671017806,0.8615,0.6273916670617958
Adam,10,0.5099495956487954,0.7431294391927542,0.6042208339730277,0.8678999999999999,0.6594583332594484
Adam,11,0.4882645749337971,0.7616146722707577,0.5937333339468266,0.8736666666666667,0.6861999992150813
Adam,12,0.4678176312490056,0.7770089584663978,0.5851833343508964,0.8785916666666667,0.7082249988832822
Adam,13,0.44853096293037137,0.7895706248341745,0.5783208345218251,0.8827250000000001,0.7260833319531133
Adam,14,0.4303342681073894,0.7996516106524376,0.5731708346695329,0.8864166666666666,0.740074998345226
Adam,15,0.41316327625202637,0.8080680282206413,0.5685666682251419,0.8892749999999999,0.7521416647024453
Adam,16,0.3969584092590958,0.8151537747709606,0.5648583349275093,0.8918083333333334,0.7620916643987099
Adam,17,0.3816636975314468,0.8213722078085108,0.561437501654029,0.89395,0.7710749974716454
Adam,18,0.36722600502489755,0.8269191696283181,0.5583333350699395,0.8958083333333334,0.7791416639412443
Adam,19,0.353594523259749,0.8315301187629116,0.5557250018793468,0.8973416666666667,0.7858916638201724
Adam,20,0.34072049009116984,0.8355143447650679,0.5532708352794871,0.8984833333333333,0.7919416636408617
MetaOpt,0,,0.3613760390555476,0.7043208322652306,0.6217666666666667,0.21312500370976825
MetaOpt,1,0.7769950698241591,0.36749120694992915,0.7030166656166936,0.6245833333333334,0.21855000383096437
MetaOpt,2,0.7615165426582098,0.40115480536174847,0.7044583320564901,0.6560666666666667,0.24715000406466425
MetaOpt,3,0.7168122469559312,0.4977854764962712,0.6999749992704019,0.7427666666666667,0.34281667086233697
